word Fantasy,coefficient
wisp,2
girl,2
eyes,4
twilight,3
hair,2
spun,2
moonlight,3
precipice,3
forbidden,3
wood,2
loomed,2
wall,2
gnarled,2
oaks,2
whispering,3
pines,2
secrets,3
jealously,3
guarded,2
ancient,2
magic,3
rustle,2
leaves,2
hoot,2
owl,2
whispered,3
warning,2
dare,2
cross,2
invisible,3
line,2
ordinary,3
whispers,2
sang,2
soul,2
siren,2
song,2
resist,2
pull,2
depths,2
yearning,2
knowledge,3
tangled,2
heart,2
tonight,2
stronger,2
village,2
nestled,2
shadow,2
plagued,2
nightmares,2
visions,2
monstrous,3
wolf,2
burned,2
molten,2
gold,2
elders,2
faces,2
etched,2
fear,2
dream,2
weaver,2
creature,2
lurked,2
elara,3
refused,2
believe,2
held,2
malice,2
armed,2
lantern,2
unwavering,2
spirit,2
stepped,2
