word SciFi,coefficient
year,3
mars,5
desolate,2
red,1
rock,1
burgeoning,3
metropolis,5
steel,4
glass,3
towers,4
martian,4
air,3
colonists,3
engineers,4
dreamers,3
kai,5
astrophysicist,5
eyes,3
glint,2
distant,3
galaxies,4
gold,2
rush,2
mining,3
allure,3
terraforming,4
projects,3
passion,4
whispers,4
cosmos,4
secrets,4
electromagnetic,5
hum,3
universe,4
days,2
bowels,2
observatory,5
chasing,3
ghosts,3
form,1
faint,2
radio,3
signals,4
echoes,3
civilizations,4
tremor,2
ancient,3
instruments,3
signal,3
rhythmic,3
melody,3
symphony,4
prime,3
numbers,3
binary,3
code,3
swirling,3
alien,5
beauty,3
kai's,2
heart,3
pulsar,3
message,3
bridge,3
unfathomable,3
gulf,2
interstellar,4
space,3
poured,2
data,3
deciphering,3
language,3
mind,2
whirlwind,2
excitement,3
trepidation,3
invitation,3
beckoning,3
call,2
